ticker,name,per,pbr,roe,ev_ebitda,intrinsic_value,mos_pct,dcf_undervalued,price,rsi,price_above_sma50,price_above_sma200,macd_positive,rsi_healthy,golden_cross,score
CMCSA,CMCSA,5.7439704,1.1515286,0.2141,5.626,-0.9,,False,30.96,44.4,True,True,False,True,False,15
CI,CI,13.072621,1.8853025,0.1513,7.87,578.04,49.9,True,289.82,47.8,True,True,False,True,False,15
BRK-B,BRK-B,16.15323,0.0010405454,0.1017,-2.421,769.91,34.4,True,504.95,46.5,True,True,True,True,False,14
000660.KS,SK하이닉스,5.466029,,0.49388,11.797,,,,1061000.0,68.9,True,True,True,True,False,13
HPQ,HPQ,7.1660376,-22.742516,,5.643,42.33,55.1,True,18.99,42.3,False,False,True,True,False,12
000270.KS,기아,8.596082,,0.14094,4.746,179891.29,-14.2,False,205500.0,88.1,True,True,True,False,False,12
EOG,EOG,13.605264,2.23624,0.16829,6.167,60.91,-103.7,False,124.08,71.9,True,True,True,False,False,12
015760.KS,한국전력,3.2133415,,0.19124001,6.077,-160831.72,,False,58500.0,38.3,True,True,False,True,False,12
DAL,DAL,8.5770235,2.046729,0.27693,7.699,48.55,-35.3,False,65.7,31.3,False,True,False,True,False,12
OMC,OMC,6.6913013,2.2168794,0.00479,11.408,225.46,62.2,True,85.29,72.6,True,True,True,False,False,12
PVH,PVH,10.489297,0.6439561,0.06704,7.855,31.79,-115.8,False,68.6,59.3,True,False,True,True,False,12
FOX,FOX,12.405275,2.0130754,0.16823,7.834,105.32,50.9,True,51.73,31.0,False,False,False,True,False,11
T,T,9.213816,1.7833948,0.18805,8.032,9.49,-195.1,False,28.01,59.0,True,True,False,True,False,11
003490.KS,대한항공,8.006205,,0.08485,6.413,28155.21,0.2,False,28100.0,76.7,True,True,True,False,False,11
271560.KS,오리온,10.401699,,0.15406999,5.966,165404.83,19.3,False,133400.0,65.0,True,True,False,True,False,11
UAL,UAL,10.421569,2.2500212,0.23987,6.859,-2.02,,False,106.3,40.4,False,True,False,True,False,11
TGT,TGT,13.792727,3.3238885,0.25094998,8.452,57.91,-96.5,False,113.79,48.6,True,True,False,True,False,10
MPC,MPC,14.993193,3.4895515,0.24292,9.953,,,,198.21,45.6,True,True,False,True,False,10
VZ,VZ,12.349753,2.0242229,0.17069,7.571,28.18,-77.9,False,50.14,72.3,True,True,False,False,False,10
F,F,7.7446094,1.5632975,-0.20193,35.888,-27.63,,False,14.09,57.3,True,True,True,True,False,10
011200.KS,HMM,18.419727,,0.09714,4.157,24962.29,14.5,False,21350.0,62.8,True,True,True,True,False,10
066570.KS,LG전자,12.010903,,0.045679998,5.181,,,,145700.0,78.3,True,True,True,False,False,10
COP,COP,17.867716,2.1555998,0.12357,6.445,86.86,-30.6,False,113.46,67.0,True,True,False,True,False,9
OXY,OXY,39.31852,1.8862829,0.05929,7.338,12.7,-318.1,False,53.08,73.7,True,True,True,False,False,9
CVS,CVS,57.482018,1.3501868,0.022869999,11.704,22.42,-256.3,False,79.9,54.8,True,True,True,True,False,9
MRK,MRK,17.008242,5.8246307,0.36882,11.756,64.82,-91.0,False,123.82,54.5,True,True,False,True,False,9
BMY,BMY,18.02601,6.8742423,0.40442002,8.543,72.43,13.9,False,62.37,52.4,True,True,False,True,False,9
AMGN,AMGN,27.239298,24.155828,1.0610299,15.379,143.82,-169.9,False,388.16,54.9,True,True,True,True,False,9
ABBV,ABBV,97.92406,-125.44865,62.25,16.187,135.49,-71.3,False,232.08,60.7,True,True,True,True,False,9
HUM,HUM,17.824135,1.301325,0.07039,4.602,236.49,19.4,False,190.54,47.4,False,False,True,True,False,9
WBD,WBD,148.26315,1.945039,0.02078,14.173,92.85,69.7,True,28.17,60.6,False,True,True,True,False,9
CVS,CVS,57.482018,1.3501868,0.022869999,11.704,22.42,-256.3,False,79.9,54.8,True,True,True,True,False,9
STLA,STLA,3.745804,0.36991456,-0.32813,-2.599,,,,8.09,68.8,False,False,True,True,False,9
036570.KS,엔씨소프트,13.499713,,0.10434,-106.391,203353.67,-13.6,False,231000.0,61.2,True,True,True,True,False,9
005930.KS,삼성전자,8.361277,,0.10783,15.09,84378.01,-156.6,False,216500.0,82.6,True,True,True,False,False,9
012330.KS,현대모비스,9.565467,,0.09158,8.435,309262.46,-67.2,False,517000.0,71.5,True,True,True,False,False,9
024110.KS,기업은행,7.0977187,,0.07645,,,,,25750.0,66.1,True,True,True,True,False,9
018260.KS,삼성에스디에스,16.36804,,0.07843,6.534,,,,195000.0,76.1,True,True,True,False,False,9
035720.KS,카카오,36.164158,,0.011770001,18.014,120804.55,48.4,True,62300.0,64.8,True,True,True,True,False,9
033780.KS,KT&G,13.058919,,0.12476,10.963,,,,163100.0,57.2,True,True,False,True,False,8
041510.KQ,에스엠,16.171364,,0.28435,10.927,124466.51,7.2,False,115500.0,60.6,False,False,True,True,False,8
207940.KS,삼성바이오로직스,38.503666,,0.17589001,84.764,195879.5,-807.7,False,1778000.0,53.7,True,True,True,True,False,8
PSX,PSX,14.303059,2.1279266,0.15427,12.51,0.87,-17666.5,False,154.33,45.4,True,True,False,True,False,8
034730.KS,SK,6.4279613,,0.04445,16.377,,,,401000.0,73.2,True,True,True,False,False,8
005490.KS,POSCO홀딩스,13.518012,,0.00815,8.765,,,,413000.0,77.0,True,True,True,False,False,8
